Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
BTC-2MAY26-76000-C,26.3,20.6,,1.8354,-194.79846,22.58065,0.00019,,0.42733,0.011,41.4,34.54,0.008,0.0085,0.0085,36.21,1.6
BTC-2MAY26-76000-P,29,62,,-2.57189,-194.80499,22.58067,0.00019,,-0.57267,0.016,45.5,34.55,0.0135,0.0142,0.0145,37.9,1.6
BTC-2MAY26-76500-C,48.4,48.5,,1.44525,-178.99904,20.98774,0.00018,,0.33574,0.005,52.1,34.22,0.0055,0.0059,0.006,36.03,1.2
BTC-2MAY26-76500-P,9.5,11,,-2.99104,-179.00246,20.98781,0.00018,,-0.66425,0.0125,0.5,31.98,0.017,0.0183,0.02,42.73,0.5
BTC-2MAY26-77000-C,13.2,13,,1.08976,-155.75786,18.39487,0.00015,,0.2527,0.0047,4.5,34.71,0.0038,0.004,0.0041,35.95,0.5
BTC-2MAY26-77000-P,0.3,0.3,,-3.37553,-155.75786,18.39487,0.00015,,-0.7473,0.012,0.2,19.6,0.0195,0.023,0.0265,50.08,0.2
BTC-2MAY26-77500-C,13.9,18.3,,0.79058,-129.15048,15.26323,0.00013,,0.18305,0.0041,4.5,34.38,0.0024,0.0026,0.0027,35.89,0.8
BTC-2MAY26-77500-P,0.2,2.5,,-3.7037,-129.15436,15.26344,0.00013,,-0.81694,0.0155,0.2,-,0.0245,0.0282,0.032,52.95,0.2
BTC-2MAY26-78000-C,7,17.5,,0.55381,-102.32532,12.05123,0.0001,,0.12808,0.0018,32.8,34.46,0.0015,0.0017,0.0018,36.38,22
BTC-2MAY26-78000-P,2.3,2.3,,-3.96949,-102.32135,12.05096,0.0001,,-0.87193,0.016,8.8,-,0.0046,0.0339,0.038,57.01,0.2
BTC-2MAY26-78500-C,1.5,1.7,,0.3808,-78.92776,9.19104,0.00008,,0.08799,0.0018,0.2,35.41,0.001,0.0011,0.0012,37.07,28.6
BTC-2MAY26-78500-P,-,-,,-4.17147,-78.93168,9.19133,0.00008,,-0.91201,-,0.2,-,0.0305,0.0399,0.044,60.48,0.2
BTC-2MAY26-79000-C,14.7,13.7,,0.26496,-54.87038,6.96281,0.00006,,0.06119,0.0007,22.9,35.6,0.0006,0.0007,0.0008,37.85,31.9
BTC-2MAY26-79000-P,-,-,,-4.31633,-61.2241,6.96252,0.00006,,-0.93881,-,8.2,-,0.0125,0.0462,0.0785,170.31,8.2
BTC-2MAY26-79500-C,4.6,24.7,,0.18048,-35.80886,5.12647,0.00004,,0.04166,0.0004,22.5,36.67,0.0004,0.0005,0.0005,38.21,1.8
BTC-2MAY26-79500-P,-,-,,-4.42979,-45.99344,5.12647,0.00004,,-0.95834,-,0.2,-,0.0475,0.0525,0.082,167.15,8
BTC-2MAY26-80000-C,160.6,177,,0.13847,-27.72841,4.12775,0.00003,,0.03197,0.0004,2.8,38.44,0.0003,0.0004,0.0004,40.35,20
BTC-2MAY26-80000-P,-,-,,-4.50079,-38.92245,4.12801,0.00003,,-0.96803,-,0.2,-,0.053,0.0591,0.0875,170.55,7.9
BTC-2MAY26-81000-C,50.5,79.9,,0.06563,-12.46363,2.19751,0.00002,,0.01514,0.0001,32.7,38.85,0.0001,0.0002,0.0002,42.66,20
BTC-2MAY26-81000-P,-,-,,-4.63163,-21.61524,2.19751,0.00002,,-0.98486,-,7.8,-,0.0665,0.0721,0.112,224.26,7.8
BTC-2MAY26-82000-C,33.7,32.3,,0.0268,-4.70941,1.00437,0.00001,,0.00618,0.0001,-,-,-,0.0001,0.0002,49.03,21.7
BTC-2MAY26-82000-P,-,-,,-4.72845,-10.07999,1.00437,0.00001,,-0.99382,-,7.6,-,0.059,0.0852,0.099,139.67,0.2
BTC-2MAY26-83000-C,29.4,132.6,,0.01489,-2.6355,0.59457,-,,0.00343,0.0001,-,-,-,-,0.0001,50.56,21.6
BTC-2MAY26-83000-P,-,-,,-4.79835,-6.3448,0.59457,-,,-0.99657,-,0.2,-,0.081,0.0984,0.111,145.56,0.2
BTC-2MAY26-84000-C,10,11,,0.00957,-1.74858,0.39908,-,,0.00221,0.0001,-,-,-,-,0.0001,56.19,22.2
BTC-2MAY26-84000-P,-,-,,-4.86166,-4.56075,0.39908,-,,-0.99779,-,7.4,-,0.106,0.1116,0.148,251.18,7.4
BTC-2MAY26-85000-C,0.3,1.1,,0.00333,-0.56034,0.15189,-,,0.00077,0.0001,-,-,-,-,0.0001,61.68,24.8
BTC-2MAY26-85000-P,-,-,,-4.92589,-1.73587,0.15189,-,,-0.99923,-,7.4,-,0.082,0.1249,0.171,298.93,7.3
BTC-2MAY26-86000-C,-,2,,0.00113,-0.17745,0.05571,-,,0.00026,0.0001,-,-,-,-,0.0001,67.06,22.2
BTC-2MAY26-86000-P,-,-,,-4.98609,-0.63948,0.05571,-,,-0.99974,-,7.2,-,0.1075,0.1381,0.168,250.67,7.2
